INFO - 07:23:04: collecting all words and their counts
INFO - 07:23:04: PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
INFO - 07:23:05: PROGRESS: at sentence #10000, processed 15548896 words, keeping 407376 word types
INFO - 07:23:06: PROGRESS: at sentence #20000, processed 23082087 words, keeping 511716 word types
INFO - 07:23:07: PROGRESS: at sentence #30000, processed 33489151 words, keeping 666725 word types
INFO - 07:23:08: PROGRESS: at sentence #40000, processed 42201346 words, keeping 790571 word types
INFO - 07:23:09: PROGRESS: at sentence #50000, processed 50167038 words, keeping 892451 word types
INFO - 07:23:10: PROGRESS: at sentence #60000, processed 57327184 words, keeping 986791 word types
INFO - 07:23:11: PROGRESS: at sentence #70000, processed 63881234 words, keeping 1068064 word types
INFO - 07:23:12: PROGRESS: at sentence #80000, processed 69974674 words, keeping 1135049 word types
INFO - 07:23:12: PROGRESS: at sentence #90000, processed 75826849 words, keeping 1197056 word types
INFO - 07:23:13: PROGRESS: at sentence #100000, processed 81505703 words, keeping 1258353 word types
INFO - 07:23:14: PROGRESS: at sentence #110000, processed 86999965 words, keeping 1318207 word types
INFO - 07:23:14: PROGRESS: at sentence #120000, processed 92113558 words, keeping 1370076 word types
INFO - 07:23:15: PROGRESS: at sentence #130000, processed 96971477 words, keeping 1420477 word types
INFO - 07:23:16: PROGRESS: at sentence #140000, processed 101547418 words, keeping 1468791 word types
INFO - 07:23:16: PROGRESS: at sentence #150000, processed 106266641 words, keeping 1518109 word types
INFO - 07:23:17: PROGRESS: at sentence #160000, processed 110806402 words, keeping 1566218 word types
INFO - 07:23:17: PROGRESS: at sentence #170000, processed 115213452 words, keeping 1611884 word types
INFO - 07:23:18: PROGRESS: at sentence #180000, processed 119543854 words, keeping 1655770 word types
INFO - 07:23:18: PROGRESS: at sentence #190000, processed 123735649 words, keeping 1697390 word types
INFO - 07:23:19: PROGRESS: at sentence #200000, processed 127775297 words, keeping 1739210 word types
INFO - 07:23:19: PROGRESS: at sentence #210000, processed 131550449 words, keeping 1783583 word types
INFO - 07:23:20: PROGRESS: at sentence #220000, processed 135318163 words, keeping 1819895 word types
INFO - 07:23:20: PROGRESS: at sentence #230000, processed 139092351 words, keeping 1859481 word types
INFO - 07:23:21: PROGRESS: at sentence #240000, processed 142717549 words, keeping 1896664 word types
INFO - 07:23:21: PROGRESS: at sentence #250000, processed 146411083 words, keeping 1933595 word types
INFO - 07:23:22: PROGRESS: at sentence #260000, processed 150201641 words, keeping 1968862 word types
INFO - 07:23:22: PROGRESS: at sentence #270000, processed 153931451 words, keeping 2005125 word types
INFO - 07:23:23: PROGRESS: at sentence #280000, processed 157592841 words, keeping 2041227 word types
INFO - 07:23:23: PROGRESS: at sentence #290000, processed 161435596 words, keeping 2078615 word types
INFO - 07:23:24: PROGRESS: at sentence #300000, processed 164972101 words, keeping 2110661 word types
INFO - 07:23:24: PROGRESS: at sentence #310000, processed 168460090 words, keeping 2142957 word types
INFO - 07:23:24: PROGRESS: at sentence #320000, processed 171513360 words, keeping 2172728 word types
INFO - 07:23:25: PROGRESS: at sentence #330000, processed 174714327 words, keeping 2207084 word types
INFO - 07:23:25: PROGRESS: at sentence #340000, processed 178034136 words, keeping 2240340 word types
INFO - 07:23:26: PROGRESS: at sentence #350000, processed 181346111 words, keeping 2268626 word types
INFO - 07:23:26: PROGRESS: at sentence #360000, processed 184309530 words, keeping 2302625 word types
INFO - 07:23:27: PROGRESS: at sentence #370000, processed 187437750 words, keeping 2331472 word types
INFO - 07:23:27: PROGRESS: at sentence #380000, processed 190677703 words, keeping 2360229 word types
INFO - 07:23:27: PROGRESS: at sentence #390000, processed 193774762 words, keeping 2386772 word types
INFO - 07:23:28: PROGRESS: at sentence #400000, processed 196839524 words, keeping 2414059 word types
INFO - 07:23:28: PROGRESS: at sentence #410000, processed 200199627 words, keeping 2441909 word types
INFO - 07:23:29: PROGRESS: at sentence #420000, processed 203582877 words, keeping 2473569 word types
INFO - 07:23:29: PROGRESS: at sentence #430000, processed 206676859 words, keeping 2501894 word types
INFO - 07:23:30: PROGRESS: at sentence #440000, processed 209934172 words, keeping 2532843 word types
INFO - 07:23:30: PROGRESS: at sentence #450000, processed 212842799 words, keeping 2562512 word types
INFO - 07:23:30: PROGRESS: at sentence #460000, processed 215895827 words, keeping 2592498 word types
INFO - 07:23:31: PROGRESS: at sentence #470000, processed 218976128 words, keeping 2618280 word types
INFO - 07:23:31: PROGRESS: at sentence #480000, processed 222046972 words, keeping 2651792 word types
INFO - 07:23:32: PROGRESS: at sentence #490000, processed 225255141 words, keeping 2681791 word types
INFO - 07:23:32: PROGRESS: at sentence #500000, processed 228353574 words, keeping 2711644 word types
INFO - 07:23:32: PROGRESS: at sentence #510000, processed 231542893 words, keeping 2741576 word types
